"Freq [GHz]","dB(S(1,1)) []"
2,-0.0275517863668022
2.01,-0.0278898964583154
2.02,-0.0282301462726735
2.03,-0.0285727091732269
2.04,-0.0289177648827485
2.05,-0.0292654996233453
2.06,-0.0296161062587882
2.07,-0.0299697844393206
2.08,-0.0303267407489491
2.09,-0.0306871888552685
2.1,-0.0310513496618316
2.11,-0.0314194514631105
2.12,-0.0317917301020318
2.13,-0.0321684291301847
2.14,-0.032549799970641
2.15,-0.0329361020835034
2.16,-0.0333276031341175
2.17,-0.0337245791640522
2.18,-0.0341273147648286
2.19,-0.0345361032543918
2.2,-0.0349512468564414
2.21,-0.0353730568825485
2.22,-0.0358018539171149
2.23,-0.0362379680052188
2.24,-0.0366817388433222
2.25,-0.0371335159728878
2.26,-0.0375936589769059
2.27,-0.0380625376793485
2.28,-0.0385405323475903
2.29,-0.0390280338977485
2.3,-0.0395254441030125
2.31,-0.0400331758049484
2.32,-0.0405516531277711
2.33,-0.0410813116956018
2.34,-0.04162259885272
2.35,-0.0421759738867961
2.36,-0.0427419082550904
2.37,-0.0433208858136461
2.38,-0.0439134030494318
2.39,-0.0445199693154447
2.4,-0.0451411070687176
2.41,-0.04577735211128
2.42,-0.0464292538339617
2.43,-0.047097375463074
2.44,-0.0477822943098924
2.45,-0.0484846020229143
2.46,-0.049204904842856
2.47,-0.0499438238602962
2.48,-0.0507019952759324
2.49,-0.0514800706633884
2.5,-0.0522787172344421
2.51,-0.0530986181066644
2.52,-0.0539404725732691
2.53,-0.0548049963751625
2.54,-0.0556929219749984
2.55,-0.056604998833122
2.56,-0.057541993685272
2.57,-0.058504690821844
2.58,-0.0594938923685139
2.59,-0.0605104185680931
2.6,-0.061555108063279
2.61,-0.0626288181801425
2.62,-0.0637324252120419
2.63,-0.0648668247036194
2.64,-0.0660329317346449
2.65,-0.0672316812032319
2.66,-0.0684640281080831
2.67,-0.0697309478293217
2.68,-0.0710334364073729
2.69,-0.0723725108194205
2.7,-0.0737492092527955
2.71,-0.07516459137464
2.72,-0.0766197385971988
2.73,-0.0781157543378543
2.74,-0.0796537642731235
2.75,-0.0812349165855814
2.76,-0.0828603822027242
2.77,-0.0845313550265785
2.78,-0.0862490521527838
2.79,-0.0880147140777466
2.8,-0.0898296048923138
2.81,-0.0916950124602625
2.82,-0.0936122485797074
2.83,-0.095582649125362
2.84,-0.0976075741693612
2.85,-0.0996884080781048
2.86,-0.101826559582336
2.87,-0.104023461817383
2.88,-0.106280572330132
2.89,-0.108599373049025
2.9,-0.110981370212856
2.91,-0.113428094253841
2.92,-0.115941099629867
2.93,-0.118521964600305
2.94,-0.121172290939205
2.95,-0.123893703579026
2.96,-0.126687850177325
2.97,-0.129556400598028
2.98,-0.132501046298034
2.99,-0.135523499608965
3,-0.138625492902667
3.01,-0.141808777628075
3.02,-0.145075123205608
3.03,-0.148426315763833
3.04,-0.151864156701649
3.05,-0.15539046105742
3.06,-0.159007055664616
3.07,-0.162715777071511
3.08,-0.1665184692001
3.09,-0.17041698071711
3.1,-0.174413162087172
3.11,-0.178508862275479
3.12,-0.182705925064131
3.13,-0.187006184943038
3.14,-0.191411462532944
3.15,-0.19592355949428
3.16,-0.200544252871924
3.17,-0.205275288821974
3.18,-0.210118375662759
3.19,-0.215075176188392
3.2,-0.220147299179559
3.21,-0.225336290042843
3.22,-0.230643620507043
3.23,-0.236070677303053
3.24,-0.241618749752885
3.25,-0.247289016194213
3.26,-0.253082529169545
3.27,-0.259000199314615
3.28,-0.265042777889635
3.29,-0.271210837910386
3.3,-0.277504753855174
3.31,-0.283924679949514
3.32,-0.290470527064723
3.33,-0.297141938311142
3.34,-0.303938263463514
3.35,-0.310858532427315
3.36,-0.317901428043101
3.37,-0.325065258633616
3.38,-0.33234793082809
3.39,-0.339746923352201
3.4,-0.347259262652302
3.41,-0.354881501429972
3.42,-0.362609701396917
3.43,-0.370439421819417
3.44,-0.378365715699419
3.45,-0.386383135728982
3.46,-0.394485752441198
3.47,-0.402667187246047
3.48,-0.410920663257014
3.49,-0.419239076950698
3.5,-0.427615093716027
3.51,-0.436041270192077
3.52,-0.444510205911804
3.53,-0.453014726105063
3.54,-0.461548096516248
3.55,-0.470104269718649
3.56,-0.478678160638001
3.57,-0.487265946846282
3.58,-0.495865386712333
3.59,-0.504476145814911
3.6,-0.513100119317616
3.61,-0.521741735518443
3.62,-0.530408223818204
3.63,-0.539109829229327
3.64,-0.547859955588637
3.65,-0.556675221107194
3.66,-0.565575412935918
3.67,-0.574583332036334
3.68,-0.583724525609818
3.69,-0.593026911242051
3.7,-0.602520304166972
3.71,-0.612235865937726
3.72,-0.622205498578644
3.73,-0.632461212335278
3.74,-0.643034496978405
3.75,-0.653955726050845
3.76,-0.665253620565373
3.77,-0.676954793831866
3.78,-0.689083392887797
3.79,-0.701660845121028
3.8,-0.714705711810696
3.81,-0.72823364409246
3.82,-0.742257431747009
3.83,-0.756787131492744
3.84,-0.771830259225398
3.85,-0.787392029810518
3.86,-0.803475628400146
3.87,-0.820082498542224
3.88,-0.837212634282811
3.89,-0.854864865744214
3.9,-0.873037130052802
3.91,-0.891726721796728
3.92,-0.910930519284157
3.93,-0.930645184665185
3.94,-0.950867337441307
3.95,-0.971593702014572
3.96,-0.99282123074685
3.97,-1.01454720454762
3.98,-1.03676931332965
3.99,-1.05948571881317
4,-1.08269510216303
4.01,-1.10639669884975
4.02,-1.13059032296486
4.03,-1.15527638302191
4.04,-1.18045589105503
4.05,-1.20613046660427
4.06,-1.23230233695933
4.07,-1.25897433483047
4.08,-1.2861498944287
4.09,-1.31383304677145
4.1,-1.34202841488348
4.11,-1.37074120943679
4.12,-1.39997722526473
4.13,-1.42974283909548
4.14,-1.46004500877348
4.15,-1.49089127417527
4.16,-1.52228975997519
4.17,-1.5542491803747
4.18,-1.58677884587637
4.19,-1.61988867215665
4.2,-1.65358919107064
4.21,-1.68789156380559
4.22,-1.72280759618568
4.23,-1.75834975612036
4.24,-1.7945311931784
4.25,-1.83136576026155
4.26,-1.86886803734359
4.27,-1.90705335723162
4.28,-1.94593783329757
4.29,-1.98553838911671
4.3,-2.0258727899379
4.31,-2.06695967589469
4.32,-2.10881859684912
4.33,-2.15147004873803
4.34,-2.19493551126617
4.35,-2.23923748676005
4.36,-2.28439953995978
4.37,-2.33044633848368
4.38,-2.37740369365006
4.39,-2.4252986012814
4.4,-2.47415928204762
4.41,-2.52401522082507
4.42,-2.57489720445487
4.43,-2.62683735717688
4.44,-2.67986917289224
4.45,-2.73402754326414
4.46,-2.7893487805038
4.47,-2.84587063350127
4.48,-2.90363229574691
4.49,-2.96267440324687
4.5,-3.02303902035938
4.51,-3.0847696111668
4.52,-3.14791099364585
4.53,-3.2125092735028
4.54,-3.27861175409743
4.55,-3.34626681838574
4.56,-3.41552377826524
4.57,-3.48643268610358
4.58,-3.55904410257358
4.59,-3.63340881420361
4.6,-3.70957749328653
4.61,-3.78760029197966
4.62,-3.867526361583
4.63,-3.94940328712086
4.64,-4.03327642649768
4.65,-4.11918814268589
4.66,-4.20717691667988
4.67,-4.29727632837586
4.68,-4.38951389219419
4.69,-4.48390973425061
4.7,-4.58047509833474
4.71,-4.67921066902961
4.72,-4.78010470219731
4.73,-4.88313095599614
4.74,-4.98824641985494
4.75,-5.09538884471649
4.76,-5.20447408571142
4.77,-5.31539327859094
4.78,-5.42800988407382
4.79,-5.54215665005174
4.8,-5.65763256054712
4.81,-5.77419986245585
4.82,-5.89158128619136
4.83,-6.00945760374564
4.84,-6.12746569624682
4.85,-6.24519733100765
4.86,-6.36219887273858
4.87,-6.47797217160515
4.88,-6.59197687789601
4.89,-6.70363442436599
4.9,-6.81233388773762
4.91,-6.91743988573857
4.92,-7.01830258213157
4.93,-7.11426975866151
4.94,-7.20470077255467
4.95,-7.28898205864749
4.96,-7.36654366895853
4.97,-7.4368761867481
4.98,-7.49954722712166
4.99,-7.55421666267969
5,-7.60064970804086
5.01,-7.63872707171521
5.02,-7.66845153812753
5.03,-7.68995056535247
5.04,-7.70347475326664
5.05,-7.70939232257783
5.06,-7.70818001494805
5.07,-7.7004110482871
5.08,-7.68674091697016
5.09,-7.66789190271637
5.1,-7.6446371582309
5.11,-7.61778515269179
5.12,-7.58816514306319
5.13,-7.55661417864555
5.14,-7.52396597854723
5.15,-7.49104186016515
5.16,-7.4586437539717
5.17,-7.42754922352862
5.18,-7.39850832266155
5.19,-7.37224206343926
5.2,-7.34944223582412
5.21,-7.33077230805206
5.22,-7.316869140987
5.23,-7.30834526514447
5.24,-7.30579149171209
5.25,-7.30977965547687
5.26,-7.32086531574778
5.27,-7.33959026959177
5.28,-7.36648475911461
5.29,-7.40206928076917
5.3,-7.44685592978009
5.31,-7.50134923696388
5.32,-7.56604647880679
5.33,-7.64143746491464
5.34,-7.72800383001643
5.35,-7.82621788054342
5.36,-7.93654106813722
5.37,-8.0594221837393
5.38,-8.19529538543488
5.39,-8.34457819005688
5.4,-8.50766957172065
5.41,-8.68494831902442
5.42,-8.87677180586497
5.43,-9.08347532825288
5.44,-9.30537215117132
5.45,-9.54275439593768
5.46,-9.79589488077374
5.47,-10.0650500069784
5.48,-10.350463762281
5.49,-10.6523728940091
5.5,-10.9710132901942
